question,label
저기 그림 화면 그릴 거야,OOD
그림 틀어줄래,OOD
저기 있잖아 그림 좀,OOD
그림 그릴 거야,OOD
그림 켜줄래,OOD
그림 화면 그릴 거야,OOD
그림 켜주라,OOD
그림 켜주라고,OOD
그림 화면,OOD
그림 켜주라고,OOD
그림 켜줄래,OOD
그림 한번 그릴 거야,OOD
그림 그려요,OOD
그림 한 번 틀어줘봐,OOD
그림 화면으로 가줘,OOD
그림 화면으로 그릴래해줄래,OOD
그림 틀어주라고,OOD
야 그림 틀어,OOD
야 그림 틀어주라,OOD
그림 하면 켜봐라,OOD
그림 틀어주세요,OOD
그림,OOD
저기 그림 화면 그릴 거야,OOD
그림 틀어줄래,OOD
인터넷,OOD
네트워크,OOD
네트워크 연결,OOD
와이파이 연결,OOD
와이파이 통신,OOD
인터넷 통신,OOD
네트워크 통신,OOD
네트워크 통신 연결,OOD
와이파이 통신 연결,OOD
통신 불안해,OOD
와이파이 연결할래,OOD
와이파이 연결할 거야,OOD
와이파이 끊겼네,OOD
와아파이 설정,OOD
네트워크 설정,OOD
와이파이 설정해줘,OOD
wifi,OOD
인터넷,OOD
네트워크,OOD
네트워크 연결,OOD
wifi 연결,OOD
wifi 통신,OOD
인터넷 통신,OOD
네트워크 통신,OOD
네트워크 통신 연결,OOD
wifi 통신 연결,OOD
통신 불안해,OOD
wifi 연결할래,OOD
wifi 연결할 거야,OOD
wifi 끊겼네,OOD
네트워크 설정,OOD
wifi 설정해줘,OOD
와이파이 켜줘,OOD
와이파이 킬래,OOD
wifi 켜줘,OOD
wifi 킬래,OOD
저기 그림 화면 그릴 거야,OOD
그림 틀어줄래,OOD
인터넷,OOD
네트워크,OOD
네트워크 연결,OOD
와이파이 연결,OOD
와이파이 통신,OOD
인터넷 통신,OOD
네트워크 통신,OOD
네트워크 통신 연결,OOD
와이파이 통신 연결,OOD
통신 불안해,OOD
와이파이 연결할래,OOD
와이파이 연결할 거야,OOD
와이파이 끊겼네,OOD
와아파이 설정,OOD
네트워크 설정,OOD
와이파이 설정해줘,OOD
인터넷,OOD
네트워크,OOD
네트워크 연결,OOD
wifi 연결,OOD
wifi 통신,OOD
인터넷 통신,OOD
네트워크 통신,OOD
네트워크 통신 연결,OOD
wifi 통신 연결,OOD
통신 불안해,OOD
wifi 연결할래,OOD
wifi 연결할 거야,OOD
wifi 끊겼네,OOD
네트워크 설정,OOD
wifi 설정해줘,OOD
와이파이 켜줘,OOD
와이파이 킬래,OOD
wifi 켜줘,OOD
wifi 킬래,OOD
정치적 요즘 이슈 최근 알려줘,OOD
요즘 이슈 알려줘,OOD
요즘 사회적인 이슈 알려줘,OOD
최근 이슈 알려줘,OOD
요즘 무슨일이 있었니,OOD
요슴 있던일 알려줘,OOD
최근 있던일 최근 알려줘,OOD
요즘 핫한게 뭐니,OOD
최근 핫했던것 알려줘,OOD
요즘 최신의 이슈가 최근 뭐니,OOD
요즘 핫했던 이슈 알려줘,OOD
스포츠 신문 읽어줘요,OOD
문재인 나온 뉴스 들려줘요,OOD
카카오톡 나온 기사 읽어줄래요,OOD
그제 축구 결과 알려줄래요,OOD
어제 농구 결과 알려줘요,OOD
그제 농구 결과 알려줘요,OOD
버닝썬 사건 알려줄래요,OOD
주요 뉴스 들려줘,OOD
핫한 뉴스 알려줄래요,OOD
요즘 소식 전해줘요,OOD
최근 뉴스 전해줘,OOD
주요 뉴스 들려줘요,OOD
정치 기사 알려줘,OOD
단독 신문 전해줘요,OOD
정치 기사 전해줘요,OOD
손흥민 무슨 뉴스요,OOD
그제 야구 삼성 알려줄래요,OOD
저번 주 야구 에스케이 알려줄래요,OOD
어제 농구 금호 타이어 알려줄래요,OOD
이번 주 농구 케이씨씨 알려줄래요,OOD
그제 축구 현대 유나이티드 결과 알려줄래요,OOD
저번 주 축구 맨체스터 알려줄래요,OOD
행복해지는 얘기 해줄래,OOD
좋은 명언 들려주라,OOD
명언 알려줘,OOD
좋은 명언 하나 해줄래요,OOD
좋은 명언 하나만 들려주세요,OOD
좋은 명언 들려주겠나요,OOD
나 좋은 명언 하나만 들려줘,OOD
좋은 명언 좀 해줘 심심하거든,OOD
나 좋은 명언해줄 수 있냐,OOD
나 좋은 명언 좀 들려주라,OOD
좋은 명언 좀 해봐,OOD
힘이되는 명언 알려줘,OOD
행복해지는 명언 알려줘,OOD
멋진 얘기 해줘,OOD
멋진 명언 알려줘,OOD
나 명언 알려줘,OOD
나 좋은 말 좀 해줄래,OOD
좋은 명언 하나만 들려주세요,OOD
좋은 명언 들려주겠나요,OOD
나 좋은 명언 하나만 들려줘,OOD
좋은 명언 좀 해줘 심심하거든,OOD
나 좋은 명언해줄 수 있냐,OOD
나 좋은 명언 좀 들려주라,OOD
